FIPS,County,Net Annual Return,Per_capita_personal_income
10001,Kent,0.07053108438729963,202100.0
10003,New Castle,0.08222779802104753,229600.0
10005,Sussex,0.06776399397953388,268200.0
1001,Autauga,0.07495476009218477,153200.0
1003,Baldwin,0.08420114128761982,207800.0
1019,Cherokee,0.07945241760565512,109300.0
1031,Coffee,0.06810897312256581,111700.0
1033,Colbert,0.07796021109658262,98000.0
1051,Elmore,0.060187973885710275,159800.0
1069,Houston,0.06488971998846414,130600.0
1073,Jefferson,0.07621027808549491,115100.0
1077,Lauderdale,0.0629829508262629,112400.0
1081,Lee,0.08372210267162995,182300.0
1089,Madison,0.07322814964880059,164300.0
1097,Mobile,0.06997750676663365,116400.0
11001,District of Columbia,0.10576245483421233,569600.0
1101,Montgomery,0.08458947707656216,82800.0
1109,Pike,0.07526532486391807,125400.0
1113,Russell,0.07967963747722501,86400.0
1115,Saint Clair,0.09011780038864113,162600.0
1117,Shelby,0.07706760965462726,212300.0
1125,Tuscaloosa,0.09494698665901093,152400.0
12001,Alachua,0.07464705711803846,178000.0
12003,Baker,0.07814553392973479,169400.0
12005,Bay,0.07113147333223205,203100.0
12009,Brevard,0.07659092170137534,205100.0
12011,Broward,0.08799718033120375,256700.0
12015,Charlotte,0.10609258879170376,198500.0
12017,Citrus,0.08217528299113078,148400.0
12019,Clay,0.07009981650070814,202000.0
12023,Columbia,0.09835627022748804,122100.0
12027,De Soto,0.12071690733820307,115900.0
12031,Duval,0.07207080044227772,172100.0
12033,Escambia,0.0733303699121844,142700.0
12035,Flagler,0.07081055493964622,219500.0
12039,Gadsden,0.10033642590441716,92400.0
12041,Gilchrist,0.1020294565864016,127800.0
12043,Glades,0.1477430690319796,92300.0
12045,Gulf,0.08531001048763551,177600.0
12051,Hendry,0.10694828842272827,114600.0
12053,Hernando,0.07881456205009013,158800.0
12055,Highlands,0.08684195192709429,127200.0
12057,Hillsborough,0.07277363244893037,214500.0
12061,Indian River,0.08665431683174682,214600.0
12069,Lake,0.07096389945980365,207600.0
12071,Lee,0.09420173026056516,228600.0
12073,Leon,0.07334633458568589,175000.0
12081,Manatee,0.08742573062180148,252300.0
12083,Marion,0.07644506838974369,143700.0
12085,Martin,0.09858031658501996,267100.0
12086,Miami-Dade,0.09112035204323014,296400.0
12087,Monroe,0.1509280963567463,553800.0
12089,Nassau,0.07429703531665344,263900.0
12091,Okaloosa,0.07136754472118638,214900.0
12093,Okeechobee,0.10792552271630676,126500.0
12095,Orange,0.07323148682316437,240000.0
12097,Osceola,0.0730226987601011,205300.0
12099,Palm Beach,0.09616938842287977,270100.0
12101,Pasco,0.07876802948169118,174500.0
12103,Pinellas,0.07691481139534394,222700.0
12105,Polk,0.07514558443490756,170500.0
12107,Putnam,0.1059687449263967,103900.0
12109,Saint Johns,0.0824198376633707,306100.0
12111,Saint Lucie,0.07892960859315105,206800.0
12113,Santa Rosa,0.07328525155617918,198700.0
12115,Sarasota,0.10615245254933732,255000.0
12117,Seminole,0.07476653698872371,243900.0
12121,Suwannee,0.09451523975253276,126700.0
12127,Volusia,0.07999167565363029,189500.0
12129,Wakulla,0.06348657433971285,165200.0
12131,Walton,0.09288649302200162,357800.0
13009,Baldwin,0.08380908761213006,122600.0
13011,Banks,0.07246310754407005,170700.0
13013,Barrow,0.0699095635989829,171100.0
13015,Bartow,0.06860534006704545,159300.0
13021,Bibb,0.07735403034590396,95200.0
13029,Bryan,0.08502385605915659,212800.0
13031,Bulloch,0.076422557361485,140000.0
13035,Butts,0.06787114984926637,120200.0
13039,Camden,0.07126040444570955,153700.0
13045,Carroll,0.06195742702366463,140200.0
13047,Catoosa,0.07453998237639431,141800.0
13051,Chatham,0.0816192921135911,163100.0
13057,Cherokee,0.07213339396508922,246400.0
13059,Clarke,0.06533841795302152,167600.0
13063,Clayton,0.07260634971841143,102600.0
13067,Cobb,0.08136809815986455,245900.0
13073,Columbia,0.06748203628231503,190700.0
13077,Coweta,0.0746429930609315,205100.0
13083,Dade,0.07169314945368369,132500.0
13085,Dawson,0.0690724042679166,240500.0
13089,Dekalb,0.07574494580235762,187400.0
13095,Dougherty,0.07683945515908662,77700.0
13097,Douglas,0.07602064672704034,158500.0
13103,Effingham,0.07640729019139353,176700.0
13105,Elbert,0.09778757810126516,87000.0
13111,Fannin,0.08416325957840076,189700.0
13113,Fayette,0.08302134836916895,272400.0
13115,Floyd,0.06351616132679021,122200.0
13117,Forsyth,0.07470538026664601,332000.0
13119,Franklin,0.07827977911067581,128800.0
13121,Fulton,0.08135445156762038,269900.0
13123,Gilmer,0.08085990201317679,193800.0
13129,Gordon,0.08430612044967226,126500.0
13133,Greene,0.07487108319966494,290500.0
13135,Gwinnett,0.07527739798284001,221200.0
13137,Habersham,0.07897302481076382,141700.0
13139,Hall,0.07871711713882654,185300.0
13143,Haralson,0.07464273693938032,113400.0
13145,Harris,0.0762360217448989,202700.0
13147,Hart,0.07656378625397353,150600.0
13151,Henry,0.08099459231543077,170200.0
13153,Houston,0.0646248495733286,128900.0
13157,Jackson,0.07453082025414985,191800.0
13159,Jasper,0.0595504052953217,139900.0
13169,Jones,0.0773911384531643,123100.0
13171,Lamar,0.06885012243786992,121300.0
13175,Laurens,0.08576720810645823,93200.0
13177,Lee,0.07725484944883672,142900.0
13183,Long,0.07440384422702097,154200.0
13185,Lowndes,0.0690993126901712,124100.0
13187,Lumpkin,0.07750985736518784,198900.0
13195,Madison,0.07143974834290469,127900.0
13199,Meriwether,0.07068705606902755,90900.0
13207,Monroe,0.07751303948647005,180100.0
13211,Morgan,0.07605188783543725,220400.0
13213,Murray,0.08629897565220636,121200.0
13215,Muscogee,0.06544209515257461,96700.0
13217,Newton,0.07608475839822275,140900.0
